,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,44200,State Senate - District 42,58.238443275452724,"<b>Brian Strickland (I) (Rep)</b><br>62,551 votes",40,40
1,Dem,44200,State Senate - District 42,41.76155672454727,"<b>Kacy D. Morgan (Dem)</b><br>44,854 votes",40,40
2,Rep,44600,State Senate - District 46,63.66914981671987,"<b>Bill Cowsert (I) (Rep)</b><br>64,614 votes",42,42
3,Dem,44600,State Senate - District 46,36.33085018328012,"<b>Gareth Fenley (Dem)</b><br>36,870 votes",42,42
4,Rep,61100,State House of Representatives - District 111,61.53644314868805,"<b>Rey Martinez (I) (Rep)</b><br>21,107 votes",9,9
5,Dem,61100,State House of Representatives - District 111,38.46355685131195,"<b>Scott T. Jackson (Dem)</b><br>13,193 votes",9,9
6,Rep,61200,State House of Representatives - District 112,100.0,"<b>Bruce Williamson (I) (Rep)</b><br>28,832 votes",12,12
7,Rep,61400,State House of Representatives - District 114,100.0,"<b>Tim Fleming (I) (Rep)</b><br>30,394 votes",14,14
8,Rep,70100,District Attorney - Alcovy Judicial Circuit,100.0,"<b>Randal Matthew McGinley (I) (Rep)</b><br>91,005 votes",38,38
9,Rep,,Walton County: Judge of the Probate Court,100.0,"<b>Bruce E. Wright (I) (Rep)</b><br>50,004 votes",19,19
10,Rep,,Walton County: Clerk of Superior Court,100.0,"<b>Karen P. David (I) (Rep)</b><br>49,842 votes",19,19
11,Rep,,Walton County: Sheriff,77.3418385180007,"<b>Keith Brooks (Rep)</b><br>44,255 votes",19,19
12,Dem,,Walton County: Sheriff,22.6581614819993,"<b>Toyin Wakil Olaoluwa (Dem)</b><br>12,965 votes",19,19
13,Rep,,Walton County: Tax Commissioner,100.0,"<b>Derry M. Boyd (I) (Rep)</b><br>50,004 votes",19,19
14,Rep,,Walton County: Surveyor,100.0,"<b>Ronald Calvin Smith (I) (Rep)</b><br>49,765 votes",19,19
15,Rep,,Walton County: Coroner,100.0,"<b>Joseph H. Page (I) (Rep)</b><br>49,897 votes",19,19
16,Rep,,Walton County: Chief Magistrate,100.0,"<b>Mike Burke (I) (Rep)</b><br>49,960 votes",19,19
17,Rep,,Walton County: County Commission Chairman,100.0,"<b>David Thompson (I) (Rep)</b><br>48,889 votes",19,19
18,Rep,,Walton County: County Commission - District 2,100.0,"<b>Pete Myers (Rep)</b><br>7,531 votes",3,3
19,Rep,,Walton County: County Commission - District 3,100.0,"<b>Timmy Shelnutt (I) (Rep)</b><br>8,909 votes",4,4
20,Rep,,Walton County: County Commission - District 6,100.0,"<b>Kirklyn L. Dixon (I) (Rep)</b><br>5,911 votes",6,6
21,Rep,,Walton County: County BOE - District 3,100.0,"<b>Chris Kimbro (I) (Rep)</b><br>6,182 votes",3,3
22,Rep,,Walton County: County BOE - District 4,100.0,"<b>Ned Butler (Rep)</b><br>7,553 votes",5,5
23,Rep,,Walton County: County BOE - District 6,100.0,"<b>John Jessup (I) (Rep)</b><br>6,430 votes",4,4
24,Rep,,Walton County: County BOE - District 7,100.0,"<b>David Breedlove (I) (Rep)</b><br>8,600 votes",5,5
25,,,Walton County: Package Sales of Distilled Spirits - Monroe,72.34184610248707,"<b>Yes</b><br>4,334 votes",3,3
26,,,Walton County: Package Sales of Distilled Spirits - Monroe,27.65815389751294,"<b>No</b><br>1,657 votes",3,3
27,,,Walton County: Sunday Package Sales - Social Circle,65.27777777777779,"<b>Yes</b><br>1,645 votes",1,1
28,,,Walton County: Sunday Package Sales - Social Circle,34.72222222222222,<b>No</b><br>875 votes,1,1
