,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40300,State Senate - District 3,100.0,"<b>Mike Hodges (I) (Rep)</b><br>77,114 votes",48,48
1,Rep,40800,State Senate - District 8,100.0,"<b>Russ Goodman (I) (Rep)</b><br>64,698 votes",48,48
2,Rep,67400,State House of Representatives - District 174,100.0,"<b>John Corbett (I) (Rep)</b><br>22,251 votes",27,27
3,Rep,67600,State House of Representatives - District 176,100.0,"<b>James D. Burchett (I) (Rep)</b><br>19,364 votes",25,25
4,Rep,,Ware County: Clerk of Superior Court,100.0,"<b>Samantha  ""Sam"" Bennett (Rep)</b><br>11,990 votes",13,13
5,Rep,,Ware County: Sheriff,100.0,"<b>J. Carl James (I) (Rep)</b><br>12,298 votes",13,13
6,Rep,,Ware County: Tax Commissioner,100.0,"<b>Roger E. Collins (I) (Rep)</b><br>12,200 votes",13,13
7,Rep,,Ware County: Coroner,100.0,"<b>David Lane Jordan (Rep)</b><br>12,063 votes",13,13
8,Rep,,Ware County: County Commission Chair,100.0,"<b>Elmer Thrift (I) (Rep)</b><br>11,567 votes",13,13
9,Rep,,Ware County: County Commission - District 2,100.0,"<b>Jon Tindall (Rep)</b><br>3,491 votes",5,5
10,Rep,,Ware County: County Commission - District 4,100.0,"<b>Barry Cox (Rep)</b><br>4,036 votes",8,8
11,,,Ware County: Waycross City Commission - District 1 (Special),29.255989911727614,<b>Willie E. Oliver</b><br>232 votes,2,2
12,,,Ware County: Waycross City Commission - District 1 (Special),40.605296343001264,<b>Shawn Roberts</b><br>322 votes,2,2
13,,,Ware County: Waycross City Commission - District 1 (Special),30.138713745271122,<b>Jene Walker</b><br>239 votes,2,2
