,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42300,State Senate - District 23,61.839923686661066,"<b>Max Burns (I) (Rep)</b><br>54,455 votes",86,86
1,Dem,42300,State Senate - District 23,38.160076313338934,"<b>Shayna Boston (Dem)</b><br>33,603 votes",86,86
2,Rep,62800,State House of Representatives - District 128,49.91368148467846,"<b>Tracy Wheeler (Rep)</b><br>13,878 votes",29,29
3,Dem,62800,State House of Representatives - District 128,50.08631851532154,"<b>Mack Jackson (I) (Dem)</b><br>13,926 votes",29,29
4,Dem,73700,District Attorney - Toombs Judicial Circuit,100.0,"<b>Bill Doupé (I) (Dem)</b><br>18,989 votes",28,28
5,Dem,,Warren County: Clerk of Superior Court,100.0,"<b>Cynthia Cheeley-Lazenby (I) (Dem)</b><br>2,199 votes",1,1
6,Dem,,Warren County: Sheriff,100.0,"<b>Joe Peebles (I) (Dem)</b><br>2,237 votes",1,1
7,Dem,,Warren County: Tax Commissioner,100.0,"<b>Leigh Jones (I) (Dem)</b><br>2,233 votes",1,1
8,Rep,,Warren County: Surveyor,100.0,"<b>Ron Carden (Rep)</b><br>1,779 votes",1,1
9,Dem,,Warren County: Coroner,100.0,"<b>Paul Lowe (I) (Dem)</b><br>2,248 votes",1,1
10,Dem,,"Warren County: Chairman, Board of Commissioners",100.0,"<b>John R. Graham (I) (Dem)</b><br>2,202 votes",1,1
11,Dem,,Warren County: County Commission - District 1,100.0,"<b>Richard Burley (I) (Dem)</b><br>1,103 votes",1,1
12,Dem,,Warren County: County Commission - District 2,100.0,"<b>Allen L. Troy (Dem)</b><br>1,034 votes",1,1
13,,,Warren County: Warren Co. Soil and Water,100.0,"<b>James H. McMichael (I)</b><br>2,099 votes",1,1
