,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,42600,State Senate - District 26,100.0,"<b>David E. Lucas, Sr. (I) (Dem)</b><br>60,536 votes",57,57
1,Rep,62800,State House of Representatives - District 128,49.91368148467846,"<b>Tracy Wheeler (Rep)</b><br>13,878 votes",29,29
2,Dem,62800,State House of Representatives - District 128,50.08631851532154,"<b>Mack Jackson (I) (Dem)</b><br>13,926 votes",29,29
3,Rep,72300,District Attorney - Middle Judicial Circuit,100.0,"<b>Tripp Fitzner (I) (Rep)</b><br>32,860 votes",33,33
4,Dem,,Washington County: Probate Court Judge,100.0,"<b>Russell A. Sheppard (I) (Dem)</b><br>8,012 votes",8,8
5,Dem,,Washington County: Clerk of Superior Court,100.0,"<b>Megan Cramer (I) (Dem)</b><br>7,726 votes",8,8
6,Dem,,Washington County: State Court Solicitor,100.0,"<b>Michael Howard (I) (Dem)</b><br>7,511 votes",8,8
7,Dem,,Washington County: Sheriff,100.0,"<b>Joel Cochran (I) (Dem)</b><br>8,292 votes",8,8
8,Dem,,Washington County: Tax Commissioner,100.0,"<b>Neil Pittman (Dem)</b><br>7,893 votes",8,8
9,Dem,,Washington County: Coroner,100.0,"<b>E.K. May (I) (Dem)</b><br>8,063 votes",8,8
10,,,Washington County: (S) SPLOST,56.77252833576478,"<b>Yes</b><br>5,059 votes",8,8
11,,,Washington County: (S) SPLOST,43.22747166423522,"<b>No</b><br>3,852 votes",8,8
