,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41900,State Senate - District 19,100.0,"<b>Blake Tillery (I) (Rep)</b><br>65,328 votes",66,66
1,Rep,66700,State House of Representatives - District 167,70.56756281848533,"<b>Buddy Deloach (I) (Rep)</b><br>20,080 votes",22,22
2,Dem,66700,State House of Representatives - District 167,29.432437181514672,"<b>Rebekah Moore (Dem)</b><br>8,375 votes",22,22
3,Rep,67800,State House of Representatives - District 178,100.0,"<b>Steven Meeks (I) (Rep)</b><br>24,660 votes",25,25
4,Rep,70700,District Attorney - Brunswick Judicial Circuit,100.0,"<b>Keith Higgins (I) (Rep)</b><br>78,471 votes",58,58
5,Rep,,Wayne County: Clerk of Court,100.0,"<b>Frances Bennett Yeargan (I) (Rep)</b><br>12,045 votes",12,12
6,Rep,,Wayne County: Sheriff,100.0,"<b>Robert E. ""Chuck"" Moseley (I) (Rep)</b><br>11,572 votes",12,12
7,Rep,,Wayne County: Tax Commissioner,100.0,"<b>Ally OQuinn Harnage (Rep)</b><br>11,669 votes",12,12
8,Rep,,Wayne County: Coroner,100.0,"<b>Jay Fulton (I) (Rep)</b><br>11,894 votes",12,12
9,Rep,,Wayne County: County Commission -  District 1,100.0,"<b>Mike Gordon (I) (Rep)</b><br>3,000 votes",3,3
10,Rep,,Wayne County: County Commission -  District 3,100.0,"<b>Tim Hopkins (I) (Rep)</b><br>2,592 votes",4,4
11,Rep,,Wayne County: County Commission -  District 5,77.97216699801193,"<b>Randy W. Franks (Rep)</b><br>1,961 votes",4,4
12,Dem,,Wayne County: County Commission -  District 5,22.02783300198807,<b>Princess Violet Ndow (Dem)</b><br>554 votes,4,4
13,,,Wayne County: Satilla River Soil and Water Supervisor,100.0,"<b>Kristy Griffis Arnold (I)</b><br>11,559 votes",12,12
