,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41200,State Senate - District 12,100.0,"<b>Freddie Powell Sims (I) (Dem)</b><br>62,128 votes",87,87
1,Rep,65100,State House of Representatives - District 151,100.0,"<b>Mike Cheokas (I) (Rep)</b><br>18,992 votes",29,29
2,Ind,73300,District Attorney - Southwestern Judicial Circuit,100.0,"<b>Lewis R. Lamb (I) (Ind)</b><br>31,442 votes",32,32
3,Dem,,Webster County: Clerk of Superior Court,100.0,<b>Chekeidra Crimes (I) (Dem)</b><br>971 votes,1,1
4,Dem,,Webster County: Probate/Magistrate Judge,100.0,"<b>Jimmy Bankston (I) (Dem)</b><br>1,052 votes",1,1
5,Dem,,Webster County: Sheriff,100.0,"<b>Randy Dely (I) (Dem)</b><br>1,154 votes",1,1
6,Dem,,Webster County: Tax Commissioner,100.0,"<b>Marjorie Hine (I) (Dem)</b><br>1,133 votes",1,1
7,Dem,,Webster County: County Commissioner - District 1,100.0,<b>David Ingram (Dem)</b><br>233 votes,1,1
8,Dem,,Webster County: County Commissioner - District 4,100.0,<b>Jack Holbrook (I) (Dem)</b><br>257 votes,1,1
9,Dem,,Webster County: County Commissioner - At Large,100.0,"<b>Darrell Holbrook (I) (Dem)</b><br>1,081 votes",1,1
