,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41900,State Senate - District 19,100.0,"<b>Blake Tillery (I) (Rep)</b><br>65,328 votes",66,66
1,Rep,65600,State House of Representatives - District 156,100.0,"<b>Leesa Hagan (I) (Rep)</b><br>19,606 votes",17,17
2,Rep,72700,District Attorney - Oconee Judicial Circuit,100.0,"<b>Timothy G. Vaughn (I) (Rep)</b><br>23,986 votes",29,29
3,Rep,,Wheeler County: Clerk of Superior Court,100.0,"<b>Carol W. Bragg (I) (Rep)</b><br>1,935 votes",2,2
4,Rep,,Wheeler County: Sheriff,100.0,"<b>Glenn Giles (Rep)</b><br>1,899 votes",2,2
5,Rep,,Wheeler County: Tax Commissioner,100.0,"<b>Kim H. Clark (I) (Rep)</b><br>2,016 votes",2,2
6,Dem,,Wheeler County: County Commission - District 1,100.0,<b>Rochelle Culver (I) (Dem)</b><br>490 votes,2,2
7,Rep,,Wheeler County: County Commission - District 2,100.0,<b>Danny Clark (I) (Rep)</b><br>676 votes,2,2
8,Rep,,Wheeler County: County Commission - District 3,100.0,<b>Keith McNeal (I) (Rep)</b><br>730 votes,2,2
9,,,Wheeler County: Ohoopee River Soil and Water Supervisor,100.0,"<b>Michael D. Hayes (I)</b><br>1,848 votes",2,2
