,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45400,State Senate - District 54,100.0,"<b>Chuck Payne (I) (Rep)</b><br>69,447 votes",39,39
1,Rep,50200,State House of Representatives - District 2,100.0,"<b>Steve Tarvin (I) (Rep)</b><br>27,194 votes",14,14
2,Rep,50400,State House of Representatives - District 4,100.0,"<b>Kasey Carpenter (I) (Rep)</b><br>14,785 votes",13,13
3,Rep,50600,State House of Representatives - District 6,85.30066815144765,"<b>Jason T. Ridley (I) (Rep)</b><br>22,597 votes",14,14
4,Dem,50600,State House of Representatives - District 6,14.699331848552339,"<b>Cathy Kott (Dem)</b><br>3,894 votes",14,14
5,Rep,71100,District Attorney - Conasauga Judicial Circuit,100.0,"<b>Benjamin Kenemer (I) (Rep)</b><br>48,720 votes",30,30
6,Rep,,Whitfield County: Judge of the Probate Court,100.0,"<b>Sheri H. Blevins (I) (Rep)</b><br>33,860 votes",23,23
7,Rep,,Whitfield County: Clerk of Superior Court,100.0,"<b>Babs Bailey (I) (Rep)</b><br>33,711 votes",23,23
8,Rep,,Whitfield County: Sheriff,54.18245111088359,"<b>Darren J. Pierce (Rep)</b><br>21,168 votes",23,23
9,Dem,,Whitfield County: Sheriff,45.81754888911641,"<b>Scott Chitwood (I) (Dem)</b><br>17,900 votes",23,23
10,Rep,,Whitfield County: Tax Commissioner,100.0,"<b>Danny W. Sane (I) (Rep)</b><br>34,639 votes",23,23
11,Rep,,Whitfield County: Coroner,73.36147231543623,"<b>Clyde McDaniel, Jr. (I) (Rep)</b><br>27,983 votes",23,23
12,Dem,,Whitfield County: Coroner,26.638527684563755,"<b>Susie Brown (Dem)</b><br>10,161 votes",23,23
13,Rep,,Whitfield County: County Commission Chairman,100.0,"<b>Jevin S. Jensen (I) (Rep)</b><br>33,210 votes",23,23
14,Rep,,Whitfield County: County Commission - District 2,100.0,"<b>Robby Staten (I) (Rep)</b><br>6,971 votes",7,7
15,Rep,,Whitfield County: County Commission - District 4,100.0,"<b>Greg Jones (I) (Rep)</b><br>10,740 votes",10,10
16,Rep,,Whitfield County: County BOE - District 1,100.0,"<b>Ricky Robertson (Rep)</b><br>25,528 votes",22,22
17,Rep,,Whitfield County: County BOE - District 3,100.0,"<b>Carolyn Weaver (I) (Rep)</b><br>25,518 votes",22,22
