,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42000,State Senate - District 20,100.0,"<b>Larry Walker (I) (Rep)</b><br>79,290 votes",57,57
1,Rep,64800,State House of Representatives - District 148,100.0,"<b>Noel W. Williams, Jr. (I) (Rep)</b><br>22,686 votes",17,17
2,Rep,,Wilcox County: Probate Court Judge,100.0,"<b>B. Shawn Rhodes (I) (Rep)</b><br>2,970 votes",6,6
3,Rep,,Wilcox County: Clerk of Superior Court,100.0,"<b>Janet Addison Mauldin (I) (Rep)</b><br>2,924 votes",6,6
4,Rep,,Wilcox County: Sheriff,100.0,"<b>Jeff Wessel (I) (Rep)</b><br>2,961 votes",6,6
5,Rep,,Wilcox County: Tax Commissioner,100.0,"<b>Brittany McFall (I) (Rep)</b><br>2,941 votes",6,6
6,Rep,,Wilcox County: Coroner,100.0,"<b>Janice B. Brown (I) (Rep)</b><br>2,911 votes",6,6
7,Rep,,Wilcox County: County Commission - District 2,51.767151767151766,<b>Kerney Hair (Rep)</b><br>249 votes,3,3
8,Dem,,Wilcox County: County Commission - District 2,48.232848232848234,<b>Alfonza Hall (I) (Dem)</b><br>232 votes,3,3
9,Rep,,Wilcox County: County Commission - District 4,100.0,<b>Clay Reid (I) (Rep)</b><br>700 votes,3,3
10,Rep,,Wilcox County: County BOE - District 2,60.2020202020202,<b>William Dozier (I) (Rep)</b><br>298 votes,3,3
11,Dem,,Wilcox County: County BOE - District 2,39.7979797979798,<b>Tilquanita Fitzgerald (Dem)</b><br>197 votes,3,3
12,Rep,,Wilcox County: County BOE - District 4,100.0,<b>Berry Collier (I) (Rep)</b><br>703 votes,3,3
