,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42400,State Senate - District 24,100.0,"<b>Lee Anderson (I) (Rep)</b><br>93,176 votes",69,69
1,Rep,62300,State House of Representatives - District 123,73.2178867513844,"<b>Rob Leverett (I) (Rep)</b><br>22,874 votes",34,34
2,Dem,62300,State House of Representatives - District 123,26.7821132486156,"<b>Hope S. Beard (Dem)</b><br>8,367 votes",34,34
3,Dem,73700,District Attorney - Toombs Judicial Circuit,100.0,"<b>Bill Doupé (I) (Dem)</b><br>18,989 votes",28,28
4,Dem,,Wilkes County: Clerk of Court,100.0,"<b>Genna Albea Grimaud (I) (Dem)</b><br>4,226 votes",7,7
5,Rep,,Wilkes County: Sheriff,52.41967473224911,"<b>Darrell Powers (Rep)</b><br>2,643 votes",7,7
6,Dem,,Wilkes County: Sheriff,47.580325267750894,"<b>Detric Jones (Dem)</b><br>2,399 votes",7,7
7,Dem,,Wilkes County: Tax Commissioner,100.0,"<b>Liza A. Doizer (I) (Dem)</b><br>4,497 votes",7,7
8,Dem,,Wilkes County: Coroner,100.0,"<b>Dan Wright (I) (Dem)</b><br>4,227 votes",7,7
9,Dem,,Wilkes County: Board of Commissioners - District 1,100.0,<b>Gloria T. Battle (Dem)</b><br>925 votes,1,1
10,Dem,,Wilkes County: Board of Commissioners - District 2,100.0,"<b>Ed Geddings (I) (Dem)</b><br>1,148 votes",2,2
11,,,Wilkes County: Broad River Soil and Water,100.0,"<b>Marcus Shane Moore</b><br>4,054 votes",7,7
12,,,Wilkes County: GA HB 1483,69.37984496124031,"<b>Yes</b><br>1,253 votes",4,4
13,,,Wilkes County: GA HB 1483,30.620155038759687,<b>No</b><br>553 votes,4,4
