,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,42600,State Senate - District 26,100.0,"<b>David E. Lucas, Sr. (I) (Dem)</b><br>60,536 votes",57,57
1,Rep,63300,State House of Representatives - District 133,100.0,"<b>Danny Mathis (I) (Rep)</b><br>21,374 votes",34,34
2,Rep,72600,District Attorney - Ocmulgee Judicial Circuit,100.0,"<b>T. Wright Barksdale (I) (Rep)</b><br>75,179 votes",61,61
3,Rep,,Wilkinson County: Probate Court Judge,100.0,"<b>S. Amanda Holder (Rep)</b><br>3,721 votes",9,9
4,Rep,,Wilkinson County: Superior Court Clerk,100.0,"<b>Kimberleigh Bentley (I) (Rep)</b><br>3,647 votes",9,9
5,Rep,,Wilkinson County: Sheriff,30.61774461028192,"<b>Chancey R. Allen (Rep)</b><br>1,477 votes",9,9
6,Dem,,Wilkinson County: Sheriff,69.38225538971807,"<b>Richard Chatman (I) (Dem)</b><br>3,347 votes",9,9
7,Rep,,Wilkinson County: Tax Commissioner,55.56020942408377,"<b>Amanda M. Panther (Rep)</b><br>2,653 votes",9,9
8,Dem,,Wilkinson County: Tax Commissioner,44.439790575916234,"<b>Jemesha Anderson (I) (Dem)</b><br>2,122 votes",9,9
9,Rep,,Wilkinson County: Coroner,59.47302383939774,"<b>James “Dusty” Thomas (Rep)</b><br>2,844 votes",9,9
10,Dem,,Wilkinson County: Coroner,40.52697616060226,"<b>Aisha Edmonds (Dem)</b><br>1,938 votes",9,9
11,Rep,,Wilkinson County: County BOE Chairman,55.98076118778753,"<b>David Hadarits (Rep)</b><br>2,677 votes",9,9
12,Dem,,Wilkinson County: County BOE Chairman,44.019238812212464,"<b>Roger L. Smith (I) (Dem)</b><br>2,105 votes",9,9
13,Rep,,Wilkinson County: BOE Representative - District 3,63.27185244587009,<b>Johanna Rogers (Rep)</b><br>789 votes,5,5
14,Dem,,Wilkinson County: BOE Representative - District 3,36.72814755412991,<b>Leroy Strange (I) (Dem)</b><br>458 votes,5,5
15,Dem,,Wilkinson County: BOE Representative - District 4,100.0,<b>Charles Pitts (I) (Dem)</b><br>944 votes,5,5
