,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41300,State Senate - District 13,100.0,"<b>Carden H. Summers (I) (Rep)</b><br>69,318 votes",54,54
1,Rep,65200,State House of Representatives - District 152,100.0,"<b>William J. 'Bill' Yearta (I) (Rep)</b><br>25,258 votes",25,25
2,Rep,73600,District Attorney - Tifton Judicial Circuit,100.0,"<b>Bryce Johnson (I) (Rep)</b><br>28,715 votes",29,29
3,Rep,,Worth County: Coroner,100.0,"<b>Jimmy Nelms (Rep)</b><br>8,028 votes",12,12
4,Rep,,Worth County: Judge of Probate Court,100.0,"<b>Virginia Acord (I) (Rep)</b><br>8,057 votes",12,12
5,Rep,,Worth County: Clerk of Superior Court,100.0,"<b>Marcia Kimbro Inman (I) (Rep)</b><br>7,992 votes",12,12
6,Rep,,Worth County: Sheriff,100.0,"<b>Donald Whitaker (I) (Rep)</b><br>8,150 votes",12,12
7,Rep,,Worth County: Tax Commissioner,100.0,"<b>Lakeysia T. McGill (Rep)</b><br>8,319 votes",12,12
8,Rep,,Worth County: Chief Magistrate,100.0,"<b>Casey Rouse (I) (Rep)</b><br>7,980 votes",12,12
9,Rep,,Worth County: Solicitor General of Worth County,100.0,"<b>Jay Crowe (I) (Rep)</b><br>8,094 votes",12,12
10,Rep,,Worth County: County Commission Chair,100.0,"<b>Fred Dent (I) (Rep)</b><br>7,950 votes",12,12
11,Dem,,Worth County: County Commission - District 1,100.0,"<b>Joe Gaines (I) (Dem)</b><br>1,539 votes",1,1
12,Rep,,Worth County: County BOE - District 2,100.0,"<b>Marilyn C. Herring (I) (Rep)</b><br>2,288 votes",3,3
13,Rep,,Worth County: County BOE - District 3,100.0,"<b>Sue J. Youngblood (I) (Rep)</b><br>2,120 votes",4,4
