,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,REP,SSD3R,State Senate - District 3 - Rep<br>17 of 46 precincts reporting,100.0,"<b>Mike Hodges (I)</b><br>9,163 votes",46,17
1,REP,SHD167R,State House of Representatives - District 167 - Rep<br>6 of 22 precincts reporting,100.0,"<b>Buddy DeLoach (I)</b><br>1,317 votes",22,6
2,DEM,SHD167D,State House of Representatives - District 167 - Dem<br>6 of 22 precincts reporting,43.46642468239564,"<b>Nathaniel Hicks, Jr.</b><br>479 votes",22,6
3,DEM,SHD167D,State House of Representatives - District 167 - Dem<br>6 of 22 precincts reporting,56.53357531760436,<b>Laurie Thompson</b><br>623 votes,22,6
4,REP,SHD179R,State House of Representatives - District 179 - Rep<br>11 of 11 precincts reporting,100.0,"<b>Rick Townsend (I)</b><br>3,207 votes",11,11
5,REP,SHD180R,State House of Representatives - District 180 - Rep<br>3 of 14 precincts reporting,100.0,"<b>Steven Sainz (I)</b><br>2,315 votes",14,3
6,,SJC21,Judge - Superior Court - Brunswick Judicial Circuit (Lane)<br>21 of 55 precincts reporting,100.0,"<b>Roger B. Lane (I)</b><br>11,874 votes",55,21
7,DEM,,Glynn County: BOE - District 4 - Dem<br>4 of 4 precincts reporting,100.0,<b>Craig B. Campbell</b><br>593 votes,4,4
8,,,Glynn County: Joint Water & Sewer Commissioner - Post 2<br>14 of 14 precincts reporting,41.188277800080286,"<b>Mark C. Ryals</b><br>3,078 votes",14,14
9,,,Glynn County: Joint Water & Sewer Commissioner - Post 2<br>14 of 14 precincts reporting,58.811722199919714,"<b>Clayton Watson (I)</b><br>4,395 votes",14,14
10,DEM,,Glynn County: County Commissioner - District 4 - Dem<br>4 of 4 precincts reporting,100.0,<b>Cornell Harvey</b><br>609 votes,4,4
11,REP,,Glynn County: County Commissioner - Post 1 - Rep<br>14 of 14 precincts reporting,100.0,"<b>Thomas ""Bo"" Clark, Jr. (I)</b><br>4,283 votes",14,14
12,REP,,Glynn County: County Commissioner - District 3 - Rep<br>4 of 4 precincts reporting,73.14814814814815,<b>Dane Hutcheson</b><br>553 votes,4,4
13,REP,,Glynn County: County Commissioner - District 3 - Rep<br>4 of 4 precincts reporting,26.851851851851855,<b>Miranda Music Smith</b><br>203 votes,4,4
14,REP,,Glynn County: County Commissioner - District 4 - Rep<br>4 of 4 precincts reporting,75.30864197530865,<b>David Sweat (I)</b><br>366 votes,4,4
15,REP,,Glynn County: County Commissioner - District 4 - Rep<br>4 of 4 precincts reporting,24.691358024691358,<b>Jonathan Thornton</b><br>120 votes,4,4
16,REP,,Glynn County: BOE - Post 1 - Rep<br>14 of 14 precincts reporting,100.0,"<b>Mike Hulsey (I)</b><br>4,255 votes",14,14
17,DEM,,Glynn County: BOE - Post 1 - Dem<br>14 of 14 precincts reporting,100.0,"<b>Zarak C. Hasbrouck</b><br>2,864 votes",14,14
18,REP,,Glynn County: BOE - District 2 - Rep<br>3 of 3 precincts reporting,100.0,"<b>Shay Heckle</b><br>1,977 votes",3,3
19,REP,,Glynn County: BOE - District 4 - Rep<br>4 of 4 precincts reporting,100.0,<b>Lori Lynn Kozlowski</b><br>411 votes,4,4
