,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
744,REP,US2R,US Senate - Rep<br>2357 of 2584 precincts reporting,25.369281166545,"<b>Earl L. ""Buddy"" Carter</b><br>219,631 votes",2584,2357
745,REP,US2R,US Senate - Rep<br>2357 of 2584 precincts reporting,40.46071781697885,"<b>Mike Collins</b><br>350,283 votes",2584,2357
746,REP,US2R,US Senate - Rep<br>2357 of 2584 precincts reporting,1.074692515963296,"<b>John F. Coyne III</b><br>9,304 votes",2584,2357
747,REP,US2R,US Senate - Rep<br>2357 of 2584 precincts reporting,29.9768058622952,"<b>Derek Dooley</b><br>259,520 votes",2584,2357
748,REP,US2R,US Senate - Rep<br>2357 of 2584 precincts reporting,3.118502638217655,"<b>Jonathan ""Jon"" McColumn</b><br>26,998 votes",2584,2357
743,DEM,US2D,US Senate - Dem<br>2357 of 2584 precincts reporting,100.0,"<b>Jon Ossoff (I)</b><br>968,743 votes",2584,2357
16,REP,S1R,Governor - Rep<br>2357 of 2584 precincts reporting,11.855130675679796,"<b>Chris Carr</b><br>105,015 votes",2584,2357
17,REP,S1R,Governor - Rep<br>2357 of 2584 precincts reporting,0.7538786140283738,"<b>Clark Dean</b><br>6,678 votes",2584,2357
18,REP,S1R,Governor - Rep<br>2357 of 2584 precincts reporting,32.61817594790809,"<b>Rick Jackson</b><br>288,938 votes",2584,2357
19,REP,S1R,Governor - Rep<br>2357 of 2584 precincts reporting,38.33311319806868,"<b>Burt Jones</b><br>339,562 votes",2584,2357
20,REP,S1R,Governor - Rep<br>2357 of 2584 precincts reporting,0.59222030685727,"<b>Gregg Kirkpatrick</b><br>5,246 votes",2584,2357
21,REP,S1R,Governor - Rep<br>2357 of 2584 precincts reporting,14.921897136999771,"<b>Brad Raffensperger</b><br>132,181 votes",2584,2357
22,REP,S1R,Governor - Rep<br>2357 of 2584 precincts reporting,0.41340273803113275,"<b>Tom Williams</b><br>3,662 votes",2584,2357
23,REP,S1R,Governor - Rep<br>2357 of 2584 precincts reporting,0.512181382426884,"<b>Ken Yasger</b><br>4,537 votes",2584,2357
9,DEM,S1D,Governor - Dem<br>2357 of 2584 precincts reporting,56.15944984095598,"<b>Keisha Lance Bottoms</b><br>564,617 votes",2584,2357
10,DEM,S1D,Governor - Dem<br>2357 of 2584 precincts reporting,1.1319080707631526,"<b>Olu Brown</b><br>11,380 votes",2584,2357
11,DEM,S1D,Governor - Dem<br>2357 of 2584 precincts reporting,1.7510757105259493,"<b>Amanda Duffy</b><br>17,605 votes",2584,2357
12,DEM,S1D,Governor - Dem<br>2357 of 2584 precincts reporting,7.123063671320951,"<b>Geoff Duncan</b><br>71,614 votes",2584,2357
13,DEM,S1D,Governor - Dem<br>2357 of 2584 precincts reporting,18.473575218175778,"<b>Jason Esteves</b><br>185,730 votes",2584,2357
14,DEM,S1D,Governor - Dem<br>2357 of 2584 precincts reporting,2.338812511065446,"<b>Derrick Jackson</b><br>23,514 votes",2584,2357
15,DEM,S1D,Governor - Dem<br>2357 of 2584 precincts reporting,13.022114977192748,"<b>Michael ""Mike"" Thurmond</b><br>130,922 votes",2584,2357
27,REP,S2R,Lieutenant Governor - Rep<br>2357 of 2584 precincts reporting,15.742848201203467,"<b>David Clark</b><br>132,801 votes",2584,2357
28,REP,S2R,Lieutenant Governor - Rep<br>2357 of 2584 precincts reporting,22.854697450341646,"<b>Greg Dolezal</b><br>192,794 votes",2584,2357
29,REP,S2R,Lieutenant Governor - Rep<br>2357 of 2584 precincts reporting,11.747300738296087,"<b>Steve Gooch</b><br>99,096 votes",2584,2357
30,REP,S2R,Lieutenant Governor - Rep<br>2357 of 2584 precincts reporting,27.36046109127464,"<b>John F. Kennedy</b><br>230,803 votes",2584,2357
31,REP,S2R,Lieutenant Governor - Rep<br>2357 of 2584 precincts reporting,1.9271803917663626,"<b>Brenda Lynn Nelson-Porter</b><br>16,257 votes",2584,2357
32,REP,S2R,Lieutenant Governor - Rep<br>2357 of 2584 precincts reporting,1.1213138540762764,"<b>Takosha Swan</b><br>9,459 votes",2584,2357
33,REP,S2R,Lieutenant Governor - Rep<br>2357 of 2584 precincts reporting,19.24619827304152,"<b>Blake Tillery</b><br>162,354 votes",2584,2357
24,DEM,S2D,Lieutenant Governor - Dem<br>2357 of 2584 precincts reporting,41.600070979729026,"<b>Josh McLaurin</b><br>398,537 votes",2584,2357
25,DEM,S2D,Lieutenant Governor - Dem<br>2357 of 2584 precincts reporting,39.155028078745744,"<b>Nabilah Parkes</b><br>375,113 votes",2584,2357
26,DEM,S2D,Lieutenant Governor - Dem<br>2357 of 2584 precincts reporting,19.244900941525227,"<b>Richard N. Wright</b><br>184,370 votes",2584,2357
38,REP,S3R,Secretary of State - Rep<br>2357 of 2584 precincts reporting,38.97810453955645,"<b>Tim Fleming</b><br>314,809 votes",2584,2357
39,REP,S3R,Secretary of State - Rep<br>2357 of 2584 precincts reporting,27.45550085680042,"<b>Vernon Jones</b><br>221,746 votes",2584,2357
40,REP,S3R,Secretary of State - Rep<br>2357 of 2584 precincts reporting,15.966451063323989,"<b>Kelvin King</b><br>128,954 votes",2584,2357
41,REP,S3R,Secretary of State - Rep<br>2357 of 2584 precincts reporting,5.608452113275949,"<b>Ted Metz</b><br>45,297 votes",2584,2357
