,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
44,REP,US2R,US Senate - Rep<br>713 of 2585 precincts reporting,54.06747686150254,"<b>Mike Collins</b><br>207,498 votes",2585,713
45,REP,US2R,US Senate - Rep<br>713 of 2585 precincts reporting,45.93252313849746,"<b>Derek Dooley</b><br>176,278 votes",2585,713
2,REP,S1R,Governor - Rep<br>713 of 2585 precincts reporting,56.143729268576,"<b>Rick Jackson</b><br>217,498 votes",2585,713
3,REP,S1R,Governor - Rep<br>713 of 2585 precincts reporting,43.856270731424,"<b>Burt Jones</b><br>169,897 votes",2585,713
6,REP,S2R,Lieutenant Governor - Rep<br>713 of 2585 precincts reporting,54.42778249563525,"<b>Greg Dolezal</b><br>206,376 votes",2585,713
7,REP,S2R,Lieutenant Governor - Rep<br>713 of 2585 precincts reporting,45.57221750436475,"<b>John F. Kennedy</b><br>172,798 votes",2585,713
4,DEM,S2D,Lieutenant Governor - Dem<br>713 of 2585 precincts reporting,55.036863622069255,"<b>Josh McLaurin</b><br>110,257 votes",2585,713
5,DEM,S2D,Lieutenant Governor - Dem<br>713 of 2585 precincts reporting,44.963136377930745,"<b>Nabilah Parkes</b><br>90,076 votes",2585,713
10,REP,S3R,Secretary of State - Rep<br>713 of 2585 precincts reporting,64.98815085098434,"<b>Tim Fleming</b><br>238,307 votes",2585,713
11,REP,S3R,Secretary of State - Rep<br>713 of 2585 precincts reporting,35.01184914901566,"<b>Vernon Jones</b><br>128,386 votes",2585,713
8,DEM,S3D,Secretary of State - Dem<br>713 of 2585 precincts reporting,35.2681756274726,"<b>Dana Barrett</b><br>70,694 votes",2585,713
9,DEM,S3D,Secretary of State - Dem<br>713 of 2585 precincts reporting,64.7318243725274,"<b>Penny Brown Reynolds</b><br>129,753 votes",2585,713
12,DEM,S6D,Commissioner of Insurance - Dem<br>713 of 2585 precincts reporting,40.23513715498087,"<b>DeAndre Mathis</b><br>80,218 votes",2585,713
13,DEM,S6D,Commissioner of Insurance - Dem<br>713 of 2585 precincts reporting,59.76486284501914,"<b>Keisha Sean Waites</b><br>119,155 votes",2585,713
14,REP,S7R,State School Superintendent - Rep<br>713 of 2585 precincts reporting,48.35391225751115,"<b>Fred ""Bubba"" Longgrear</b><br>178,145 votes",2585,713
15,REP,S7R,State School Superintendent - Rep<br>713 of 2585 precincts reporting,51.64608774248885,"<b>Richard Woods (I)</b><br>190,274 votes",2585,713
16,DEM,S8D,Commissioner of Labor - Dem<br>713 of 2585 precincts reporting,62.653621346886915,"<b>Nikki Porcher</b><br>123,271 votes",2585,713
17,DEM,S8D,Commissioner of Labor - Dem<br>713 of 2585 precincts reporting,37.346378653113085,"<b>Michelle Michi Sanchez</b><br>73,479 votes",2585,713
