,politicalParty,results.ballotItems.name,percent_of_contest,label,precinctsParticipating,precinctsReporting
0,Rep,President of the US,50.72558398048626,"<b>Donald J. Trump (Rep)</b><br>2,663,117 votes",2701,2701
1,Dem,President of the US,48.53322265495909,"<b>Kamala D. Harris (Dem)</b><br>2,548,017 votes",2701,2701
2,Lib,President of the US,0.3939774253449541,"<b>Chase Oliver (Lib)</b><br>20,684 votes",2701,2701
3,Grn,President of the US,0.3472159392096871,"<b>Jill Stein (Grn)</b><br>18,229 votes",2701,2701
4,Rep,US House of Representatives - District 1,61.9844488094937,"<b>Earl L. ""Buddy"" Carter (I) (Rep)</b><br>220,576 votes",216,216
5,Dem,US House of Representatives - District 1,38.015551190506294,"<b>Patti Hewitt (Dem)</b><br>135,281 votes",216,216
6,Rep,US House of Representatives - District 2,43.671220252095196,"<b>A. Wayne Johnson (Rep)</b><br>136,473 votes",230,230
7,Dem,US House of Representatives - District 2,56.32877974790481,"<b>Sanford Bishop (I) (Dem)</b><br>176,028 votes",230,230
8,Rep,US House of Representatives - District 3,66.30547494444916,"<b>Brian Jack (Rep)</b><br>273,036 votes",192,192
9,Dem,US House of Representatives - District 3,33.694525055550834,"<b>Maura Keller (Dem)</b><br>138,749 votes",192,192
10,Rep,US House of Representatives - District 4,24.416783963660457,"<b>Eugene Yu (Rep)</b><br>74,071 votes",168,168
11,Dem,US House of Representatives - District 4,75.58321603633954,"<b>Henry 'Hank' Johnson, Jr. (I) (Dem)</b><br>229,290 votes",168,168
12,Rep,US House of Representatives - District 5,14.321294418532926,"<b>John ""Bongo"" Salvesen (Rep)</b><br>49,221 votes",266,266
13,Dem,US House of Representatives - District 5,85.67870558146707,"<b>Nikema Williams (I) (Dem)</b><br>294,470 votes",266,266
14,Rep,US House of Representatives - District 6,25.316766234606508,"<b>Jeff Criswell (Rep)</b><br>93,909 votes",253,253
15,Dem,US House of Representatives - District 6,74.68323376539348,"<b>Lucy McBath (I) (Dem)</b><br>277,027 votes",253,253
16,Rep,US House of Representatives - District 7,64.85184819552371,"<b>Rich McCormick (I) (Rep)</b><br>275,907 votes",177,177
17,Dem,US House of Representatives - District 7,35.148151804476285,"<b>Bob Christian (Dem)</b><br>149,535 votes",177,177
18,Rep,US House of Representatives - District 8,68.9166946940452,"<b>Austin Scott (I) (Rep)</b><br>231,547 votes",225,225
19,Dem,US House of Representatives - District 8,31.083305305954802,"<b>Darrius Butler (Dem)</b><br>104,434 votes",225,225
20,Rep,US House of Representatives - District 9,69.00482668730398,"<b>Andrew Clyde (I) (Rep)</b><br>271,062 votes",145,145
21,Dem,US House of Representatives - District 9,30.99517331269602,"<b>Tambrei Cash (Dem)</b><br>121,754 votes",145,145
22,Rep,US House of Representatives - District 10,63.05185928264439,"<b>Mike Collins (I) (Rep)</b><br>256,442 votes",166,166
23,Dem,US House of Representatives - District 10,36.9481407173556,"<b>Alexandra ""Lexy"" Doherty (Dem)</b><br>150,274 votes",166,166
24,Rep,US House of Representatives - District 11,67.30861807923415,"<b>Barry Loudermilk (I) (Rep)</b><br>269,849 votes",153,153
25,Dem,US House of Representatives - District 11,32.69138192076585,"<b>Katy ""Kate"" L. Stamper (Dem)</b><br>131,064 votes",153,153
26,Rep,US House of Representatives - District 12,60.319223127999855,"<b>Rick W. Allen (I) (Rep)</b><br>205,849 votes",257,257
